source,destination,length
1425255400,1425255389,68.47901258391734
1425255403,6324707874,11.370902814914785
1425255403,1425255409,43.4187387373247
1425255403,1425255410,67.79911257009942
1425255404,1425255398,66.84941261426764
1425255409,1425255403,43.4187387373247
1425255409,1425255413,24.233688571931904
1425255409,1425255416,65.09678159157066
1425255410,1425255403,67.79911257009942
1425255413,1425255409,24.233688571931904
1425255413,1425255414,16.96541173004163
1425255414,1425255413,16.96541173004163
1425255414,1425255422,65.63783002217764
1425255414,1425255424,53.643182934217265
1425255416,1425255409,65.09678159157066
1425255422,1425255414,65.63783002217764
1425255424,1425255414,53.643182934217265
1425386435,1425480503,298.25984325796674
1425480495,1425480502,126.70706515506129
1425480495,6243141888,110.72706541865111
1425480495,1425480497,205.31124603113855
1425480497,1425480502,149.5112227030501
1425480497,1425480495,205.31124603113852
1425480497,3955086923,104.54399981963073
1425480500,6869412358,59.30834053637087
1425480502,1425480495,126.70706515506129
1425480502,3955086924,113.13451435354617
1425480502,1425480497,149.5112227030501
1425480503,3955086923,33.03746178753054
1425480503,1425386435,298.25984325796674
1425480503,6324492837,287.16269444212617
1425480505,1425480516,125.51811841990794
1425480505,6324799285,42.51027775148535
1425480505,3898121560,162.9391252942059
1425480513,6330038795,84.13534814377408
1425480513,3898121560,7.463735953050453
1425480513,6330166452,95.6886720513324
1425480516,6324654150,56.905201640243334
1425480516,1425480505,125.51811841990794
1425480516,6241282388,101.7665355227263
1425480527,6475489083,134.76779460913482
1425480527,6163999708,83.22565310557323
1425480530,6330038795,84.81213439703146
1425480530,1425480570,313.8625478505825
1425480530,6324847444,93.21685200202339
1425480550,6163999707,64.91205740961445
1425480550,1428152140,14.388338117557678
1425480551,1425480550,16.916616974411742
1425480551,10093772561,6.732824226903783
1425480557,1425480583,60.71611172331969
1425480570,6475489083,31.88695256818428
1425480570,1425480624,168.84569044383247
1425480570,1425480530,313.8625478505825
1425480578,10094486188,39.16070605815068
1425480578,1425480597,76.11382589515725
1425480578,6324847444,65.0352965101995
1425480583,1425480619,95.97487724220147
1425480583,1425480557,60.71611172331969
1425480583,1425480694,258.15822549484346
1425480589,10099982162,12.522927968418031
1425480597,1425480578,76.11382589515725
1425480597,6324681812,96.60514178296648
1425480597,1425480694,137.86107590967552
1425480605,1425480645,102.98813155173274
1425480605,1425480613,46.92725759010328
1425480605,1425480621,181.55274920344553
1425480613,1425480689,102.69522168741615
1425480613,1425480628,65.89832593217143
1425480613,1425480605,46.92725759010328
1425480619,1425480583,95.97487724220147
1425480619,1425480627,14.167851519634219
1425480619,10100031020,65.20356336901688
1425480621,3955015895,166.23000005347035
1425480621,1425480645,80.03455215254799
1425480621,1425480605,181.55274920344556
1425480624,10094486186,30.833633701955684
1425480624,1425480570,168.84569044383247
1425480624,1425480681,73.91425121377371
1425480627,1425480697,82.30544917641849
1425480627,1425480619,14.167851519634219
1425480627,1425480730,136.81629423806953
1425480628,1425480613,65.89832593217143
1425480628,1425480636,12.884487824906378
1425480628,6475396474,94.39373731473401
1425480636,1425480747,139.10162834591037
1425480636,1425480744,90.43722044414609
1425480636,1425480628,12.884487824906378
1425480642,1425480747,81.27038217908387
1425480645,1425480605,102.98813155173274
1425480645,1425480689,51.58734775971187
1425480645,1425480621,80.03455215254799
1425480651,1425480681,13.496044992103695
1425480651,6324681812,75.89219447111374
1425480651,1425480767,145.80103106658368
1425480660,1425480662,19.52436312432422
1425480662,7081470571,13.833561524795456
1425480662,1425480683,8.751760941826333
1425480674,7081470576,41.096558411392856
1425480674,1425480660,7.327426266849711
1425480681,6330021828,114.24002873877913
1425480681,1425480651,13.496044992103695
1425480681,1425480624,73.91425121377371
1425480683,1425480700,6.732090952126112
1425480689,1425480613,102.69522168741615
1425480689,1425480645,51.58734775971187
1425480689,1425480744,63.65776075619307
1425480694,1425480710,7.33992791513675
1425480694,1425480583,258.15822549484346
1425480694,1425480597,137.86107590967552
1425480697,1425480757,135.81582777908554
1425480697,1425480627,82.30544917641849
1425480697,1425480750,67.80644038612184
1425480700,10100098387,45.21069513153282
1425480700,1425480719,13.455921565026419
1425480710,1425480694,7.33992791513675
1425480710,1425480767,173.550780663303
1425480710,1425480730,177.89587931302347
1425480713,1425480674,11.812147859544728
1425480719,1425480721,9.868551413957952
1425480721,6241167504,169.3819259791325
1425480721,1425480713,10.031512691609011
1425480730,1425480757,83.35613326010754
1425480730,1425480627,136.81629423806953
1425480730,1425480710,177.89587931302347
1425480744,1425480636,90.43722044414609
1425480744,9754292375,65.36102060722929
1425480744,1425480689,63.65776075619307
1425480747,1425480636,139.10162834591037
1425480747,1425480769,92.89588701078692
1425480747,1425480642,81.27038217908387
1425480750,1425480697,67.80644038612184
1425480757,1425480730,83.35613326010754
1425480757,1425480697,135.81582777908554
1425480757,1425480797,278.80084460071606
1425480767,1425480710,173.550780663303
1425480767,1425480651,145.80103106658368
1425480767,1425480797,169.78286007742463
1425480768,3955011685,38.130162660251486
1425480768,3955015895,52.096061520223884
1425480768,3955015903,94.29542814479233
1425480769,1425480747,92.89588701078692
1425480769,1425480777,70.85752094950327
1425480769,9754292375,72.65661915470578
1425480777,6241167505,115.97892475144418
1425480777,1425480769,70.85752094950327
1425480777,9754292372,95.81590217706349
1425480777,6241167523,117.12714485264496
1425480797,1425480813,71.89007206433963
1425480797,1425480757,278.80084460071606
1425480797,1425480767,169.78286007742463
1425480800,11846376305,45.67783651768144
1425480800,3955015903,113.88137103133121
1425480800,6243214931,96.15353302728215
1425480802,6241167505,78.4420841422839
1425480802,1425480892,317.53824856309114
1425480802,6241167504,194.41328287595883
1425480813,1425480797,71.89007206433963
1425480821,11400843998,60.77341139883351
